id,nombre,longitud,fade,tipos_de_pelo,familia_actual,tiene_foto
esq2023-085-peinado-hacia-atras-con-textura,Peinado hacia atrás con textura,corto,ninguno,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-086-semirrecogido-con-mono,Semirrecogido con moño,largo,ninguno,liso/ondulado/rizado,recogido_mono_coleta,si
esq2023-087-peinado-hacia-atras-sin-raya,Peinado hacia atrás sin raya,corto,ninguno,liso/ondulado,clasico_raya_lateral,si
esq2023-088-flequillo-extra-largo-abierto-con-raya-medio-de-lado,"Flequillo extra largo, abierto con raya medio de lado",medio,ninguno,liso/ondulado,fade_undercut_textura,si
esq2023-089-tupe-ladeado,Tupé ladeado,corto,bajo,liso/ondulado,tupe_pompadour_clasico,si
esq2023-090-pelo-corto-peinado-hacia-atras-con-mechones-con-textura,Pelo corto peinado hacia atrás con mechones con textura,corto,ninguno,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-091-pelo-corto-hiper-rizado-al-natural,Pelo corto híper rizado al natural,corto,ninguno,rizado/afro,afro_rizado_voluminoso,si
esq2023-092-flequillo-largo-peinado-con-raya-al-lado-y-volumen,"Flequillo largo, peinado con raya al lado y volumen",medio,ninguno,liso/ondulado,fade_undercut_textura,si
esq2023-093-corte-estilo-mohicano-con-rastas-largas-en-la-parte-inferior,"Corte estilo mohicano, con rastas largas en la parte inferior",largo,skin,rizado/afro,rastas_trenzas_locs,si
esq2023-094-media-melena-con-raya-en-medio,Media melena con raya en medio,medio,ninguno,liso/ondulado,corte_texturizado_general,si
esq2023-095-flequillo-extralargo-con-caida-hacia-atras-y-un-lado,Flequillo extralargo con caída hacia atrás y un lado,medio,ninguno,liso/ondulado,fade_undercut_textura,si
esq2023-096-pelo-largo-con-laterales-rapados-peinado-con-gomina-y-medio,Pelo largo con laterales rapados peinado con gomina y medio moño bajo,largo,alto,liso/ondulado,recogido_mono_coleta,si
esq2023-097-peinado-con-tupe-clasico-y-patillas-anchas,Peinado con tupé clásico y patillas anchas,corto,bajo,liso/ondulado,tupe_pompadour_clasico,si
esq2023-098-peinado-de-efecto-recien-levantado,Peinado de efecto recién levantado,corto,ninguno,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-099-pelo-desfilado-con-patillas-largas-y-finas,Pelo desfilado con patillas largas y finas,medio,ninguno,liso/ondulado,corte_texturizado_general,si
esq2023-100-melena-con-ondas-estilo-surfero,Melena con ondas estilo surfero,largo,ninguno,ondulado,melena_larga,si
